,year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop
1,2012,CA,6,1,Corn,Corn,0.100116246,0.715914212,0.242759476,0,0
2,2012,CA,6,2,Cotton,Cotton,0.19037769,2.483860336,1.251648876,0,0
3,2012,CA,6,3,Rice,Rice,0.002176931,0.023194703,0.004912178,0,0
4,2012,CA,6,4,Sorghum,Other_crops,0.070213286,1.284485735,0.317821209,0,0
5,2012,CA,6,5,Soybeans,Soybeans,NA,NA,NA,0,0
6,2012,CA,6,6,Sunflower,Other_crops,0.070213286,1.284485735,0.317821209,0,0
7,2012,CA,6,10,Peanuts,Other_crops,0.070213286,1.284485735,0.317821209,0,0
8,2012,CA,6,11,Tobacco,Other_crops,0.070213286,1.284485735,0.317821209,0,0
9,2012,CA,6,12,Sweet Corn,Vegetables_and_fruit,0.279821259,2.057656047,1.484865306,0,0
10,2012,CA,6,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0
11,2012,CA,6,14,Mint,Not_surveyed,NA,NA,NA,1,0
12,2012,CA,6,21,Barley,Other_crops,0.070213286,1.284485735,0.317821209,0,0
13,2012,CA,6,22,Durum Wheat,Wheat,0.010869879,0.096310475,0.041874806,0,0
14,2012,CA,6,23,Spring Wheat,Wheat,0.010869879,0.096310475,0.041874806,0,0
15,2012,CA,6,24,Winter Wheat,Wheat,0.010869879,0.096310475,0.041874806,0,0
16,2012,CA,6,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0
17,2012,CA,6,26,Dbl Crop WinWht/Soybeans,Not_surveyed,NA,NA,NA,1,0
18,2012,CA,6,27,Rye,Not_surveyed,NA,NA,NA,1,0
19,2012,CA,6,28,Oats,Not_surveyed,NA,NA,NA,1,0
20,2012,CA,6,29,Millet,Not_surveyed,NA,NA,NA,1,0
21,2012,CA,6,30,Speltz,Not_surveyed,NA,NA,NA,1,0
22,2012,CA,6,31,Canola,Other_crops,0.070213286,1.284485735,0.317821209,0,0
23,2012,CA,6,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0
24,2012,CA,6,33,Safflower,Not_surveyed,NA,NA,NA,1,0
25,2012,CA,6,34,Rape Seed,Other_crops,0.070213286,1.284485735,0.317821209,0,0
26,2012,CA,6,35,Mustard,Not_surveyed,NA,NA,NA,1,0
27,2012,CA,6,36,Alfalfa,Alfalfa,0.083375496,0.794360109,0.29441095,0,0
28,2012,CA,6,37,Other Hay/Non Alfalfa,Pasture_and_hay,5.47E-05,0.000371595,0.000107199,0,0
29,2012,CA,6,38,Camelina,Not_surveyed,NA,NA,NA,1,0
30,2012,CA,6,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0
31,2012,CA,6,41,Sugarbeets,Other_crops,0.070213286,1.284485735,0.317821209,0,0
