lucode,nesting_cavity_availability_index,nesting_ground_availability_index,floral_resources_spring_index,floral_resources_summer_index
1,0.3,0.2,0.7,0.5
2,0.3,0.2,0.7,0.5
3,0.3,0.2,0.7,0.5
4,0.3,0.2,0.7,0.5
6,0.3,0.2,0.7,0.5
7,0.3,0.2,0.7,0.5
8,0.3,0.2,0.7,0.5
11,0.3,0.2,0.7,0.5
16,0.3,0.2,0.7,0.5
18,0.3,0.2,0.7,0.5
20,0.3,0.2,0.7,0.5
21,0.3,0.2,0.7,0.5
24,0,0,0,0
29,0,0,0,0
32,0,0,0,0
33,0,0,0,0
39,0,0,0,0
49,0.3,0.2,0.7,0.5
51,0.6,0.3,0.3,0.3
52,0.6,0.3,0.3,0.3
53,0.6,0.3,0.3,0.3
54,0.6,0.3,0.3,0.3
55,0.6,0.3,0.3,0.3
56,0.4,0.3,0.3,0.3
57,0.4,0.3,0.3,0.3
58,0.6,0.3,0.3,0.3
59,0.6,0.3,0.3,0.3
60,0.6,0.3,0.3,0.3
61,0.4,0.3,0.3,0.3
62,0.6,0.3,0.3,0.3
66,0.4,0.3,0.3,0.3
67,0.1,0.7,0.5,0.3
68,0.1,0.7,0.5,0.3
71,0.1,0.7,0.5,0.3
72,0.1,0.7,0.5,0.3
73,0.1,0.7,0.5,0.3
74,0.1,0.7,0.5,0.3
75,0.1,0.7,0.5,0.3
76,0.1,0.7,0.5,0.3
78,0.1,0.7,0.5,0.3
79,0.1,0.7,0.5,0.3
80,0.1,0.7,0.5,0.3
81,0.1,0.7,0.5,0.3
82,0.1,0.7,0.5,0.3
83,0.1,0.7,0.5,0.3
84,0.1,0.7,0.5,0.3
85,0.1,0.7,0.5,0.3
86,0,0,0,0
87,0,0,0,0
88,0.1,0.7,0.5,0.3
89,0,0,0,0
90,0.1,0.7,0.5,0.3
91,0.1,0.7,0.5,0.3
92,0.1,0.7,0.5,0.3
93,0.4,0.3,0.3,0.3
95,0.4,0.3,0.3,0.3
